Observation ID,Organization,Dataset,Location name,Body of water,Latitude,Longitude,Region,Country,Water body type,Number of readings,Owner name,Date,Time,Timezone,Added at,Form,Notes,QA status,QA notes,"ph (std_units, api_saltwater_ph)","oxygen (mg_l, ysi_multimeter_do_mgl)","salinity (ppm, water_rangers_pen_type_salinity_meter_ppm)","conductivity (us_cm, other_pen_type_conductivity_meter_us_cm)","water_temperature (deg_c, water_rangers_pen_type_temperature_meter)","total_dissolved_solids_tds (ppm, other_pen-type_tds_meter)","hardness (mg_l, api_saltwater_hardness)","nitrates (mg_l, api_saltwater_nitrates)","nitrites (mg_l, api_saltwater_nitrites)","e_coli (cfu_per_100ml, idexx_colilert_2000_e_coli_geomean)"
58938,Fraser Riverkeeper,Vancouver Community Monitoring Program,Vanier Park ,Pacific Ocean ,49.278553,-123.147244,British Columbia,Canada,Ocean,10,Swim Drink Fish Canada,2019-07-30,17:00,-07:00,2025-08-06,Vancouver Community Monitoring Program form,,Needs review,Review needed: conductivity's result of 26846μS/cm is below the normal range of 30000.0μS/cm.,7.9,8.55,16.48,26846,20.6,17446,0,0,0,112.631443
58939,Fraser Riverkeeper,Vancouver Community Monitoring Program,Olympic Village ,Pacific Ocean,49.27237,-123.10345,British Columbia,Canada,Ocean,10,Swim Drink Fish Canada,2019-08-07,17:00,-07:00,2025-08-06,Vancouver Community Monitoring Program form,,Needs review,Review needed: conductivity's result of 28685μS/cm is below the normal range of 30000.0μS/cm.,6.95,7.16,17.78,28685,21.5,18681,40,0,0,1352.93
58940,Fraser Riverkeeper,Vancouver Community Monitoring Program,Brokers Bay ,Pacific Ocean,49.27191,-123.1375,British Columbia,Canada,Ocean,10,Swim Drink Fish Canada,2019-08-07,17:00,-07:00,2025-08-06,Vancouver Community Monitoring Program form,,Needs review,Review needed: conductivity's result of 28929μS/cm is below the normal range of 30000.0μS/cm.,7.44,8.15,17.92,28929,20.6,18817.5,40,0,0,425.89
58941,Fraser Riverkeeper,Vancouver Community Monitoring Program,Vanier Park ,Pacific Ocean ,49.278553,-123.147244,British Columbia,Canada,Ocean,10,Swim Drink Fish Canada,2019-08-07,17:00,-07:00,2025-08-06,Vancouver Community Monitoring Program form,,Reviewed: quality check complete,,7.46,8.6,22.6,35748,17.2,23231,40,0,0,26.03680406
58942,Fraser Riverkeeper,Vancouver Community Monitoring Program,Brokers Bay ,Pacific Ocean,49.27191,-123.1375,British Columbia,Canada,Ocean,7,Swim Drink Fish Canada,2019-08-13,17:00,-07:00,2025-08-06,Vancouver Community Monitoring Program form,,Needs review,Review needed: conductivity's result of 26145μS/cm is below the normal range of 30000.0μS/cm.,7.53,6.96,15.99,26145,20.8,16991,,,,278.05
58943,Fraser Riverkeeper,Vancouver Community Monitoring Program,Olympic Village ,Pacific Ocean,49.27237,-123.10345,British Columbia,Canada,Ocean,10,Swim Drink Fish Canada,2019-08-14,17:00,-07:00,2025-08-06,Vancouver Community Monitoring Program form,,Needs review,Review needed: conductivity's result of 27279μS/cm is below the normal range of 30000.0μS/cm.,7.93,6.41,16.79,27279,21.2,17738,0,0,0,208.85
58944,Fraser Riverkeeper,Vancouver Community Monitoring Program,Vanier Park ,Pacific Ocean ,49.278553,-123.147244,British Columbia,Canada,Ocean,10,Swim Drink Fish Canada,2019-08-14,17:00,-07:00,2025-08-06,Vancouver Community Monitoring Program form,,Needs review,Review needed: conductivity's result of 27130μS/cm is below the normal range of 30000.0μS/cm.,8.1,8.47,16.66,27130,20.8,17634,0,0,0,660.7081078
58945,Fraser Riverkeeper,Vancouver Community Monitoring Program,Olympic Village ,Pacific Ocean,49.27237,-123.10345,British Columbia,Canada,Ocean,7,Swim Drink Fish Canada,2019-08-20,17:00,-07:00,2025-08-06,Vancouver Community Monitoring Program form,,Reviewed: quality check complete,,7.79,7.13,19.49,31230,19.8,20312.5,,,,3122.8
58946,Fraser Riverkeeper,Vancouver Community Monitoring Program,Vanier Park ,Pacific Ocean ,49.278553,-123.147244,British Columbia,Canada,Ocean,7,Swim Drink Fish Canada,2019-08-20,17:00,-07:00,2025-08-06,Vancouver Community Monitoring Program form,,Reviewed: quality check complete,,8.1,7.12,19.38,31057,19,20182,,,,85.48843257
58947,Fraser Riverkeeper,Vancouver Community Monitoring Program,Brokers Bay ,Pacific Ocean,49.27191,-123.1375,British Columbia,Canada,Ocean,7,Swim Drink Fish Canada,2019-08-21,17:00,-07:00,2025-08-06,Vancouver Community Monitoring Program form,,Needs review,Review needed: conductivity's result of 28988μS/cm is below the normal range of 30000.0μS/cm.,8.2,7.88,17.97,28988,18.8,18843.5,,,,89.86
